col1,col2,col3,col4,col5,col6,col7,col8,col9,target
2,110,10,54,29,87,46,40,13,0
2,110,9,57,33,118,45,28,8,0
2,110,16,54,25,92,52,55,18,0
14,110,10,54,39,85,34,13,6,0
10,107,17,54,38,76,44,23,6,0
11,114,19,54,39,91,47,23,5,0
15,111,19,54,40,88,42,20,6,0
9,110,23,52,38,88,51,29,5,0
21,110,29,62,39,112,46,33,10,3
9,111,19,47,38,102,48,25,5,0
15,110,18,48,40,88,41,19,5,0
6,112,10,54,37,91,42,19,5,0
11,110,16,50,39,94,43,19,5,0
7,110,17,54,37,88,48,26,6,0
7,110,19,57,37,88,50,28,5,0
2,110,14,48,34,88,51,31,6,0
20,110,10,54,20,93,27,62,34,3
21,110,28,54,42,87,46,24,6,0
10,110,19,49,38,88,47,25,6,0
2,93,39,54,34,106,75,55,7,0
21,110,28,51,43,102,46,22,5,0
8,105,19,53,37,88,49,27,6,0
2,110,13,54,34,81,49,29,7,0
4,114,14,53,36,88,47,25,5,0
2,110,12,54,21,60,48,62,23,0
13,109,11,53,39,87,36,15,6,0
6,110,9,54,37,100,40,17,5,0
9,113,20,55,38,96,49,26,5,0
20,110,28,54,37,77,46,37,12,3
5,106,10,60,36,88,42,21,6,0
2,110,37,54,30,97,73,63,12,0
2,110,9,54,35,116,45,23,6,0
3,112,29,54,36,104,64,40,5,0
12,111,28,49,39,88,53,31,5,0
17,110,11,54,41,88,32,9,5,0
60,110,36,58,48,80,9,16,21,4
21,113,17,54,43,115,34,10,5,0
21,110,29,51,41,119,46,27,7,3
20,110,10,50,10,97,27,88,47,3
20,110,29,54,37,69,47,38,12,3
2,110,10,54,13,87,47,81,34,0
14,110,21,60,40,88,45,22,5,0
20,110,14,54,13,106,32,85,43,3
21,110,28,54,39,78,46,32,10,3
3,113,38,54,35,84,73,52,6,0
11,112,12,54,39,100,39,15,5,0
21,110,30,54,40,87,47,31,8,3
8,110,13,52,37,81,43,22,6,0
10,110,19,57,39,119,47,22,5,0
44,110,17,54,5,95,12,108,65,4
49,110,21,54,20,68,11,73,49,4
