fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class:
6539,7863,1523,3131,1709,14688,11567,6350,12556,1298,0
7600,4235,1004,4418,3430,14432,12049,5248,4638,10626,0
18020,18149,6902,35,37,18515,1150,373,16686,14893,0
4335,1695,432,5117,3559,14595,5974,6985,6505,2922,0
14423,15246,4039,2401,1559,7059,12989,17049,3668,18027,0
11888,11751,2740,1660,1067,17087,14817,12977,2948,13600,0
11387,9110,3369,1769,1242,10312,14249,13495,3758,11877,0
5692,6098,1137,3433,1901,15010,11142,8831,708,13507,0
16254,16826,6999,193,154,18492,17838,17944,3792,14336,0
11159,7155,1245,2600,1640,14142,14888,7225,5373,2136,0
13210,15065,4921,1715,988,3376,16094,17228,6298,17424,0
1697,8316,715,4401,2653,14210,5964,2128,6886,6407,0
10978,12609,3430,1455,942,4963,3079,2884,349,7856,0
8097,4997,915,3869,2139,5125,2863,6363,12797,225,0
12937,15654,4210,3852,2191,11689,1914,17541,5569,18201,0
6814,12496,1445,2311,1467,12690,11749,14913,13599,11437,0
8993,9423,2923,2100,1318,7166,3375,13988,229,9200,0
11075,7892,2113,2626,1647,17040,13675,3464,12367,1071,0
11040,10254,4362,1671,1231,16994,13770,13635,5751,8116,0
10837,7532,1495,2341,1442,11614,14150,14601,2697,12145,0
15903,17614,6602,194,185,2321,17172,18165,8421,16275,0
15462,12147,5050,1609,1389,2250,16112,1713,1733,16899,0
15817,9584,3368,1367,807,2294,17818,15594,1768,15701,0
2532,1371,425,5273,3537,13576,8595,8963,12948,777,0
15559,14580,2621,2388,1533,4984,16779,4289,3526,17808,0
16846,14891,5789,587,414,2721,18002,1511,2743,16621,0
5893,10602,1492,2928,1766,13752,11932,12916,16734,2238,0
5658,10352,1669,3478,1941,10435,10500,4046,10598,708,0
4220,2058,177,4740,3062,15079,4479,6315,10532,8570,0
8561,10570,1181,2885,1711,15126,3953,15355,1300,2528,0
11721,13968,4861,1190,860,15377,14366,1837,9774,4610,0
15575,14243,5360,2046,1488,10725,16889,1045,328,18191,0
8612,7826,2425,2496,1489,12187,8317,14422,6166,5662,0
6477,10514,2502,2625,1621,6308,2717,14093,9419,10008,0
14428,15397,3888,1169,724,2271,14802,13300,1370,16172,0
15327,16099,6268,661,444,17284,17885,15981,8676,15023,0
10973,11548,3428,1501,889,8171,14214,5769,3415,6639,0
9398,13349,3410,1718,1235,9756,13812,15161,10118,3840,0
9497,7795,1727,2491,1389,10647,12542,8788,2178,7723,0
14279,16010,5481,1733,1060,2674,14759,903,3559,18199,0
13266,13364,5362,1580,1102,2645,3278,16205,569,16530,0
981,3832,340,4860,2997,8064,6868,7804,15223,7058,0
6088,10358,1098,2976,1951,15214,11069,15663,9130,12276,0
583,2945,75,6154,3702,11837,6615,3940,15886,2436,0
13078,11764,5391,1358,813,17300,15706,1690,3390,13291,0
1599,7132,698,4356,3068,7257,9542,11874,3763,512,0
9490,13670,3733,1710,1006,16015,11800,16002,4182,8872,0
353,3189,49,5929,4109,11525,6016,7286,12843,6918,0
13262,14119,5445,1583,1000,3888,15888,16776,864,16911,0
4891,6739,1102,3515,2059,9710,10722,4965,6278,7462,0
8942,10718,1987,2523,1528,3371,2482,7420,216,7638,0
10716,12762,2684,1212,721,14375,1865,16697,8286,11122,0
13464,12437,1948,2092,1328,1346,2067,1546,3802,15726,0
10672,11279,2689,1980,1137,15496,14284,13836,8325,15770,0
8202,7050,2199,2843,1618,15561,10696,7122,7360,7005,0
16008,13870,4010,1660,1346,4094,15638,1688,5310,16968,0
2111,1835,219,4825,2974,4275,5296,8850,15278,3013,0
16294,16386,6813,493,410,2240,16744,894,3096,17783,0
16215,15869,6972,343,279,13306,17990,2530,79,15132,0
3873,6881,1198,4332,2660,6535,3119,14751,4838,2578,0
13620,13605,5415,939,617,14625,16807,6837,6306,12333,0
10878,10009,1759,2077,1397,6236,1786,3126,5768,7901,0
16454,5975,706,3061,1723,16955,18084,11607,16450,553,0
2792,620,67,5671,3237,7877,7592,7637,17461,13411,0
