col1,col2,col3,col4,col5,col6,col7,col8,col9,target
11,110,15,56,39,95,42,18,5,0
3,110,10,54,36,89,46,22,5,0
2,110,17,59,33,88,53,36,8,0
11,110,16,54,39,102,43,20,5,0
2,110,37,47,27,61,73,72,16,0
16,110,42,54,40,85,65,43,6,0
41,113,13,54,4,88,12,107,65,4
21,110,29,52,40,85,46,30,8,3
8,111,19,54,37,88,48,27,6,0
20,110,26,54,25,79,43,65,28,3
8,110,15,54,37,100,45,24,6,0
8,110,18,54,38,107,48,24,5,0
2,110,13,54,26,105,49,50,17,0
3,109,19,54,36,88,54,30,5,0
21,110,10,54,29,75,28,40,23,3
20,110,29,54,39,118,47,33,9,3
20,110,10,54,35,85,28,24,15,3
3,110,25,54,26,93,60,62,17,0
21,110,10,54,27,66,28,45,25,3
2,110,26,59,32,90,62,48,9,0
2,110,36,54,34,99,72,52,7,0
2,114,12,54,34,88,48,29,7,0
11,110,23,51,39,88,49,26,5,0
21,110,14,54,21,115,31,64,33,3
4,112,19,54,36,88,53,30,5,0
11,110,17,56,39,92,44,20,5,0
9,110,28,54,38,95,58,34,5,0
6,108,9,50,37,88,41,18,5,0
11,112,14,54,38,70,41,20,6,0
18,110,12,54,41,63,31,10,6,0
12,110,12,60,39,88,38,15,5,0
2,108,14,55,20,88,50,66,25,0
20,110,10,54,25,112,28,50,28,3
18,111,11,54,41,86,31,9,6,0
7,113,12,55,37,88,43,20,5,0
14,110,15,54,40,106,39,16,5,0
14,109,22,54,39,69,46,25,6,0
20,110,25,54,31,79,42,49,20,3
6,110,15,54,37,88,47,24,5,0
15,110,19,50,40,88,42,20,5,0
21,114,31,54,41,106,48,29,7,3
9,110,10,54,38,89,39,16,5,0
21,110,13,59,19,88,30,68,36,3
2,110,10,54,29,107,46,39,13,0
7,112,19,53,37,88,50,28,6,0
20,110,26,56,38,87,43,32,11,3
2,109,15,50,36,110,51,26,5,0
21,110,30,54,39,99,47,33,10,3
9,110,14,51,38,109,43,20,5,0
