col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,target
0,36,30,1303,615,699,410,23,30,4,1
1,100,161,1362,468,442,585,102,143,9,1
0,77,70,1424,682,699,712,67,71,2,1
1,413,536,1494,434,243,815,461,499,4,1
2,449,772,1481,270,119,633,527,622,36,1
6,45,235,474,108,63,516,50,91,6,1
9,1,13,42,478,299,587,4,5,0,1
0,9,3,635,710,699,569,3,3,0,1
0,94,85,1437,710,699,814,88,88,0,1
1,13,21,496,217,520,508,1,16,0,1
1,444,584,1501,465,308,701,542,616,25,1
1,444,584,1501,453,266,795,530,578,8,1
10,389,1191,1318,492,269,840,962,1419,13,1
0,21,15,1014,431,699,81,4,15,5,1
0,9,3,635,710,699,569,3,3,0,1
0,146,123,1463,635,699,595,120,140,10,1
0,158,131,1468,708,699,834,151,152,0,1
1,13,21,496,395,235,615,6,8,0,1
0,16,10,877,343,699,73,0,10,3,1
0,31,25,1254,400,699,86,8,25,7,1
0,77,70,1424,682,699,712,67,71,2,1
1,21,37,683,408,699,689,14,37,0,1
0,13,7,785,633,699,604,5,7,0,1
0,186,150,1484,691,699,715,173,180,6,1
1,444,584,1501,466,254,809,543,567,6,1
0,17,11,911,431,699,198,2,11,2,1
4,276,692,1383,605,485,833,790,938,6,1
2,449,772,1481,270,119,633,527,622,36,1
1,175,254,1433,457,304,736,179,206,5,1
0,25,19,1123,710,699,716,19,19,0,1
1,47,86,1069,536,376,731,53,58,1,1
0,13,7,785,633,699,604,5,7,0,1
0,15,9,848,674,699,632,8,9,0,1
0,69,62,1415,710,699,802,63,63,0,1
1,98,158,1355,184,315,314,43,115,10,1
0,7,1,546,710,699,508,1,1,0,1
1,111,174,1383,427,205,786,104,106,1,1
0,35,29,1296,587,699,538,19,29,2,1
1,442,581,1499,490,313,761,564,618,14,1
0,13,7,785,546,699,309,2,7,1,1
0,14,8,819,591,699,257,4,8,2,1
0,16,10,877,621,699,326,7,10,2,1
0,6,0,496,710,699,449,0,0,0,1
0,53,47,1375,679,699,661,44,47,2,1
0,12,6,753,576,699,309,2,6,1,1
0,354,270,1508,691,699,792,353,371,5,1
0,275,212,1505,692,699,757,262,272,6,1
0,14,8,819,462,699,98,1,8,3,1
0,116,101,1450,696,699,756,107,110,2,1
0,50,44,1367,402,699,138,17,44,9,1
1,47,86,1069,536,376,731,53,58,1,1
0,160,133,1469,341,699,1,59,154,64,1
1,443,583,1500,494,387,710,567,685,24,1
1,444,584,1501,533,446,654,603,738,39,1
3,8,29,215,528,310,699,15,15,0,1
7,229,827,1190,639,581,836,857,1168,8,1
6,0,0,37,710,699,449,0,0,0,1
