col1,col2,col3,col4,col5,col6,col7,col8,col9,target
20,110,26,55,42,88,44,22,6,0
6,110,13,54,37,96,45,22,5,0
9,111,9,54,38,91,37,15,5,0
20,110,15,54,11,78,32,91,46,3
12,110,19,49,39,88,45,23,5,0
7,111,8,54,37,88,38,17,6,0
22,109,21,55,43,88,37,14,5,0
8,110,14,56,37,87,44,23,6,0
6,110,15,54,37,95,47,24,5,0
6,110,16,56,36,86,48,27,6,0
9,110,10,54,38,91,39,16,5,0
2,110,16,54,33,102,52,35,8,0
18,111,14,54,41,65,34,12,6,0
2,110,12,54,31,77,49,37,10,0
20,110,31,54,37,68,48,40,12,3
7,112,17,54,37,88,47,26,6,0
8,110,22,54,38,115,52,28,5,0
21,110,28,54,40,80,45,29,8,3
9,113,28,54,38,103,58,34,5,0
7,110,10,59,37,88,41,18,5,0
21,112,31,54,39,117,48,34,10,3
2,110,37,54,30,104,73,64,12,0
6,110,9,54,36,72,41,20,6,0
2,110,12,54,23,68,49,57,21,0
21,110,12,54,42,83,29,7,6,0
11,110,10,54,38,58,37,16,6,0
15,110,20,54,40,87,43,21,5,0
12,111,35,53,39,88,61,38,5,0
2,110,28,60,25,92,63,67,19,0
2,110,10,54,23,76,46,55,21,0
11,109,10,52,39,90,38,14,5,0
9,112,13,53,38,88,42,19,5,0
60,110,36,54,49,110,9,14,20,4
2,110,9,61,35,88,45,22,5,0
9,110,9,52,38,94,38,15,5,0
2,110,28,55,24,88,64,70,20,0
14,110,21,54,40,105,46,22,5,0
2,112,42,67,31,88,77,66,11,0
9,112,28,54,37,70,58,37,6,0
7,106,12,54,37,88,44,21,5,0
5,105,14,54,36,88,46,25,6,0
66,110,42,54,49,95,9,19,23,4
21,110,29,54,42,72,46,25,6,0
2,110,12,47,23,88,49,57,21,0
2,108,10,54,36,103,45,21,5,0
18,109,13,54,42,88,33,9,5,0
6,107,12,54,37,88,44,20,5,0
14,109,10,55,40,88,34,11,5,0
20,110,12,54,24,86,29,54,29,3
17,110,15,59,41,88,36,13,5,0
11,111,10,54,38,63,38,17,6,0
7,110,10,54,37,87,41,19,5,0
10,113,23,54,38,88,51,29,6,0
2,110,27,54,24,65,63,69,20,0
2,112,15,54,35,88,51,29,5,0
10,110,12,54,39,118,39,15,5,0
3,110,25,55,27,96,60,60,16,0
14,110,12,54,40,95,36,13,5,0
3,110,25,60,27,119,60,60,16,0
6,112,16,54,37,90,47,24,5,0
20,110,10,54,27,64,28,45,25,3
4,110,13,53,36,86,47,24,5,0
2,110,9,54,31,104,45,33,11,0
8,109,16,54,38,115,45,22,5,0
10,110,19,54,38,86,46,25,6,0
16,110,17,54,41,97,39,16,5,0
14,109,19,54,40,93,44,20,5,0
13,109,10,54,39,79,34,13,6,0
8,110,9,54,38,117,39,15,5,0
2,110,8,54,30,65,44,35,12,0
11,110,9,54,38,58,36,15,6,0
2,110,12,54,34,68,49,29,6,0
21,111,16,54,43,97,33,9,5,0
20,101,7,48,19,75,25,62,35,3
14,109,14,52,40,84,38,15,5,0
6,155,11,54,37,18,43,20,5,0
21,114,19,54,43,89,35,12,5,0
8,110,10,54,37,86,40,19,6,0
2,110,33,52,32,88,70,55,9,0
3,114,8,54,36,90,43,19,5,0
8,109,20,53,37,74,50,29,6,0
8,110,9,54,37,79,38,17,6,0
10,113,25,54,38,88,54,31,5,0
2,109,14,54,36,94,49,25,5,0
20,108,31,54,36,81,48,42,13,3
11,109,12,57,39,88,39,15,5,0
16,109,23,54,41,91,44,21,5,0
12,110,19,48,39,88,45,22,5,0
20,110,26,54,27,61,44,61,25,3
14,110,20,54,40,115,44,21,5,0
2,110,9,54,35,72,45,23,6,0
46,111,18,54,5,96,12,109,66,4
2,110,27,54,25,112,63,67,18,0
20,111,13,51,42,88,31,9,6,0
9,104,21,54,38,88,50,27,5,0
20,110,10,54,27,88,28,45,25,3
2,110,10,54,31,82,46,34,10,0
6,111,11,54,37,95,43,20,5,0
2,110,37,51,29,88,73,67,13,0
6,110,15,54,36,88,47,26,6,0
2,110,9,54,35,87,45,23,5,0
21,112,14,54,12,85,31,88,45,3
20,110,11,56,25,93,29,51,28,3
16,112,15,55,41,99,37,13,5,0
13,105,33,54,39,88,59,37,6,0
16,106,11,54,41,88,33,9,5,0
21,112,31,54,41,103,48,29,7,3
20,110,11,50,24,88,29,53,29,3
21,110,29,54,42,98,46,25,6,0
60,110,35,50,48,85,9,16,21,4
21,110,29,52,41,88,46,27,7,3
11,110,14,58,39,91,41,18,5,0
2,110,9,54,30,85,45,36,12,0
17,110,21,50,41,88,42,19,5,0
7,113,12,54,37,90,43,20,5,0
15,111,11,50,40,88,34,12,5,0
12,104,16,52,39,85,42,20,5,0
2,110,30,54,35,102,66,44,5,0
21,110,9,47,19,88,26,64,36,3
43,109,15,54,4,88,12,109,66,4
65,111,41,56,49,93,9,19,22,4
4,110,10,56,36,88,45,22,5,0
9,110,18,54,38,101,47,24,5,0
2,110,9,55,29,74,45,38,13,0
5,113,12,54,36,88,45,24,6,0
12,111,11,56,39,88,37,15,5,0
2,110,38,58,28,88,74,70,15,0
10,110,14,56,38,88,42,20,5,0
20,110,25,54,18,86,42,82,37,3
21,110,12,54,42,68,29,7,6,0
11,114,13,52,39,88,40,17,5,0
21,110,20,58,43,88,37,13,5,0
2,106,38,54,34,88,74,54,7,0
21,109,30,54,38,89,47,36,11,3
7,112,41,54,37,88,72,50,5,0
16,110,16,54,40,73,37,16,6,0
10,106,14,54,38,73,42,20,6,0
13,110,23,54,39,88,48,26,6,0
20,109,10,54,30,88,28,37,21,3
2,110,8,54,34,100,44,24,6,0
2,110,39,53,35,88,75,52,5,0
21,112,12,52,19,88,30,68,36,3
2,110,12,54,34,101,48,29,7,0
18,110,13,54,41,60,33,11,6,0
10,109,15,54,38,87,43,21,6,0
66,110,41,50,49,93,9,19,23,4
10,110,41,54,39,111,68,44,5,0
11,110,16,52,39,97,43,20,5,0
21,110,11,54,25,119,28,51,28,3
20,110,25,54,32,64,42,46,19,3
9,110,12,50,38,107,41,18,5,0
20,110,20,54,42,83,38,16,6,0
2,110,30,54,31,62,66,54,11,0
9,110,15,54,37,76,44,24,6,0
16,115,19,54,40,88,41,20,6,0
20,108,9,54,15,119,27,75,40,3
21,110,30,55,42,119,47,25,6,0
20,110,25,54,20,102,42,77,34,3
16,111,21,54,41,113,42,19,5,0
15,110,17,53,40,86,40,18,5,0
21,110,28,54,42,61,45,24,6,0
18,110,12,54,41,76,32,10,6,0
10,110,10,54,38,68,38,17,6,0
2,110,11,54,27,58,48,46,16,0
