date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
415,4,32,1157,4267,1301,1963,558,0
415,4,33,1216,4631,1360,2080,539,1
415,4,34,1180,4933,1294,2377,468,0
415,4,35,1020,5142,1120,2568,346,0
415,4,36,983,5140,1081,2505,464,0
415,4,37,1104,5083,1197,2328,539,1
415,4,38,1021,4940,1132,2200,594,0
415,4,39,983,4763,1093,2062,718,0
415,4,40,991,4632,1087,1967,762,0
415,4,41,934,4400,1019,1868,1003,0
415,4,42,916,4045,985,1720,1130,0
415,4,43,894,3662,953,1573,1136,0
415,4,44,934,3906,981,1464,1237,1
415,4,45,883,3925,922,1440,1260,0
415,4,46,1897,3786,1873,1772,807,1
415,4,47,952,3667,1008,1700,969,1
416,5,0,954,3520,999,1601,1030,1
416,5,1,919,3378,955,1463,1168,0
416,5,2,944,3165,990,1634,991,0
416,5,3,944,2840,973,1525,1053,0
416,5,4,506,2397,662,1336,1283,0
416,5,5,254,2081,233,1165,1255,0
416,5,6,30,1758,15,966,1055,0
416,5,7,25,1521,23,763,860,0
416,5,8,0,1393,0,679,806,0
416,5,9,0,1369,0,592,732,0
416,5,10,54,1516,65,604,900,0
416,5,11,371,1864,434,753,1436,0
416,5,12,929,2596,929,1083,1383,0
416,5,13,933,3251,964,1413,1060,0
416,5,14,939,3481,1008,1615,730,0
416,5,15,1114,4090,1213,1915,481,1
416,5,16,1724,4292,1850,2073,420,1
416,5,17,1176,4283,1405,2106,313,1
416,5,18,1763,4486,1987,2150,316,1
416,5,19,1702,4522,1977,2118,378,1
416,5,20,1269,4445,1574,2060,405,1
416,5,21,1597,4265,1751,2043,439,1
416,5,22,1534,4086,1678,2008,455,1
416,5,23,1506,3994,1636,1963,523,1
416,5,24,1467,3875,1599,1897,576,1
416,5,25,1075,3754,1212,1853,507,1
416,5,26,1073,3672,1212,1925,428,1
416,5,27,1004,3576,1146,1911,385,1
416,5,28,945,3547,1081,1834,521,0
416,5,29,927,3404,1054,1751,609,0
416,5,30,924,3301,1046,1705,627,0
416,5,31,924,3382,1046,1668,670,0
416,5,32,920,3484,1045,1662,636,0
416,5,33,965,3835,1103,1761,532,1
416,5,34,1137,4378,1284,1952,482,1
416,5,35,1019,4740,1152,2170,314,1
416,5,36,1017,4669,1143,2135,414,1
416,5,37,1072,4492,1196,1984,526,1
416,5,38,1331,4282,1461,1844,571,1
416,5,39,980,4064,1116,1741,651,1
416,5,40,984,3925,1113,1598,718,1
416,5,41,966,3781,1092,1529,827,1
416,5,42,748,3507,853,1392,1086,0
416,5,43,849,3207,914,1293,1218,0
416,5,44,937,3556,979,1275,1203,1
416,5,45,833,3685,876,1277,1321,0
416,5,46,970,3676,1004,1621,1004,1
416,5,47,920,3530,966,1558,1108,1
417,6,0,919,3290,958,1481,1195,1
417,6,1,892,3187,924,1342,1337,0
417,6,2,921,2962,954,1502,1183,1
417,6,3,806,2595,846,1402,1363,0
417,6,4,508,2156,524,1221,1529,0
417,6,5,176,1862,121,1012,1529,0
417,6,6,27,1524,24,791,1239,0
417,6,7,29,1269,29,622,990,0
417,6,8,9,1095,6,462,922,0
417,6,9,0,1001,0,380,882,0
417,6,10,16,1048,13,344,958,0
417,6,11,108,1129,142,398,1356,0
417,6,12,480,1365,282,528,1529,0
417,6,13,707,1673,282,638,1529,0
417,6,14,797,2043,425,692,1529,0
417,6,15,924,2749,960,826,1504,1
417,6,16,942,3326,1016,1009,1207,1
417,6,17,957,3741,1060,1147,1039,1
417,6,18,1065,4072,1187,1260,934,1
417,6,19,1079,4089,1207,1298,912,1
417,6,20,1011,3903,1136,1310,887,1
417,6,21,1000,3705,1120,1297,951,1
417,6,22,985,3433,1097,1281,928,1
417,6,23,962,3242,1070,1240,975,1
417,6,24,919,3048,1021,1246,1052,1
417,6,25,919,2895,1014,1197,1054,1
