word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,char_freq_;,char_freq_(,char_freq_[,char_freq_!,char_freq_$,char_freq_hash,capital_run_length_average,capital_run_length_longest,capital_run_length_total,spam
0,64,62,0,31,0,0,0,0,0,0,62,0,0,0,32,0,129,191,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,0,1364,60,272,1
21,28,48,0,13,28,20,7,0,93,20,77,65,21,13,14,7,28,342,0,159,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,122,0,352,175,47,1660,99,685,1
6,0,69,0,122,19,18,12,63,24,37,43,12,0,99,6,6,103,135,31,51,0,107,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,6,4,0,0,7,133,0,262,179,9,2002,228,856,1
0,0,0,0,62,0,30,63,30,62,30,29,31,0,0,31,0,0,315,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,133,0,0,1292,39,190,1
0,0,0,0,62,0,30,63,30,62,30,29,31,0,0,31,0,0,315,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,131,0,0,1292,39,190,1
0,0,0,0,179,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,1106,14,53,1
0,0,0,0,184,0,0,0,0,63,86,126,0,0,0,96,0,32,378,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,160,52,0,343,3,111,1
0,0,0,0,180,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,843,10,48,1
15,0,44,0,60,0,29,0,89,75,73,90,0,0,0,0,0,15,122,136,200,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,261,0,176,197,21,1999,226,745,1
6,12,75,0,18,32,37,0,6,0,0,62,25,0,11,0,0,12,165,6,71,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37,20,0,232,79,0,383,42,590,1
