col1,col2,col3,col4,col5,col6,col7,class
0,0,0,0,0,0,0,1
0,0,0,0,0,1,111,1
0,0,0,0,1,0,222,1
0,0,0,0,1,1,333,1
0,0,0,0,2,0,377,1
0,0,0,0,2,1,388,1
0,0,0,0,3,0,399,1
0,0,0,0,3,1,410,1
0,0,0,1,0,0,421,1
0,0,0,1,0,1,1,1
0,0,0,1,1,0,12,1
0,0,0,1,1,1,23,1
0,0,0,1,2,0,34,1
0,0,0,1,2,1,45,1
0,0,0,1,3,0,56,1
0,0,0,1,3,1,67,1
0,0,0,2,0,0,78,1
0,0,0,2,0,1,89,1
0,0,0,2,1,0,100,1
0,0,0,2,1,1,112,1
0,0,0,2,2,0,123,1
0,0,0,2,2,1,134,1
0,0,0,2,3,0,145,1
0,0,0,2,3,1,156,1
0,0,1,0,0,0,167,1
0,0,1,0,0,1,178,1
0,0,1,0,1,0,189,1
0,0,1,0,1,1,200,1
0,0,1,0,2,0,211,1
0,0,1,0,2,1,223,1
0,0,1,0,3,0,234,1
0,0,1,0,3,1,245,1
0,0,1,1,0,0,256,1
0,0,1,1,0,1,267,1
0,0,1,1,1,0,278,1
0,0,1,1,1,1,289,1
0,0,1,1,2,0,300,1
0,0,1,1,2,1,311,1
0,0,1,1,3,0,322,1
0,0,1,1,3,1,334,1
0,0,1,2,0,0,345,1
0,0,1,2,0,1,356,1
0,0,1,2,1,0,367,1
0,0,1,2,1,1,371,1
0,0,1,2,2,0,372,1
0,0,1,2,2,1,373,1
0,0,1,2,3,0,374,1
0,0,1,2,3,1,375,1
0,1,0,0,0,0,376,1
0,1,0,0,0,1,378,1
0,1,0,0,1,0,379,0
0,1,0,0,1,1,380,0
0,1,0,0,2,0,381,0
0,1,0,0,2,1,382,0
0,1,0,0,3,0,383,0
0,1,0,0,3,1,384,0
0,1,0,1,0,0,385,1
0,1,0,1,0,1,386,1
0,1,0,1,1,0,387,0
0,1,0,1,1,1,389,0
0,1,0,1,2,0,390,0
0,1,0,1,2,1,391,0
0,1,0,1,3,0,392,0
0,1,0,1,3,1,393,0
0,1,0,2,0,0,394,1
0,1,0,2,0,1,395,1
0,1,0,2,1,0,396,0
0,1,0,2,1,1,397,0
0,1,0,2,2,0,398,0
0,1,0,2,2,1,400,0
0,1,0,2,3,0,401,0
0,1,0,2,3,1,402,0
0,1,1,0,0,0,403,1
0,1,1,0,0,1,404,1
0,1,1,0,1,0,405,0
0,1,1,0,1,1,406,0
0,1,1,0,2,0,407,0
0,1,1,0,2,1,408,0
0,1,1,0,3,0,409,0
0,1,1,0,3,1,411,0
0,1,1,1,0,0,412,1
0,1,1,1,0,1,413,1
0,1,1,1,1,0,414,0
0,1,1,1,1,1,415,0
0,1,1,1,2,0,416,0
0,1,1,1,2,1,417,0
0,1,1,1,3,0,418,0
0,1,1,1,3,1,419,0
0,1,1,2,0,0,420,1
0,1,1,2,0,1,422,1
0,1,1,2,1,0,423,0
0,1,1,2,1,1,424,0
0,1,1,2,2,0,425,0
0,1,1,2,2,1,426,0
0,1,1,2,3,0,427,0
0,1,1,2,3,1,428,0
0,2,0,0,0,0,429,1
0,2,0,0,0,1,430,1
0,2,0,0,1,0,431,0
0,2,0,0,1,1,2,0
0,2,0,0,2,0,3,0
0,2,0,0,2,1,4,0
0,2,0,0,3,0,5,0
0,2,0,0,3,1,6,0
0,2,0,1,0,0,7,1
0,2,0,1,0,1,8,1
0,2,0,1,1,0,9,0
0,2,0,1,1,1,10,0
0,2,0,1,2,0,11,0
0,2,0,1,2,1,13,0
0,2,0,1,3,0,14,0
0,2,0,1,3,1,15,0
0,2,0,2,0,0,16,1
0,2,0,2,0,1,17,1
0,2,0,2,1,0,18,0
0,2,0,2,1,1,19,0
0,2,0,2,2,0,20,0
0,2,0,2,2,1,21,0
0,2,0,2,3,0,22,0
0,2,0,2,3,1,24,0
0,2,1,0,0,0,25,1
0,2,1,0,0,1,26,1
0,2,1,0,1,0,27,0
0,2,1,0,1,1,28,0
0,2,1,0,2,0,29,0
0,2,1,0,2,1,30,0
0,2,1,0,3,0,31,0
0,2,1,0,3,1,32,0
0,2,1,1,0,0,33,1
0,2,1,1,0,1,35,1
0,2,1,1,1,0,36,0
0,2,1,1,1,1,37,0
0,2,1,1,2,0,38,0
0,2,1,1,2,1,39,0
0,2,1,1,3,0,40,0
0,2,1,1,3,1,41,0
0,2,1,2,0,0,42,1
0,2,1,2,0,1,43,1
0,2,1,2,1,0,44,0
0,2,1,2,1,1,46,0
0,2,1,2,2,0,47,0
0,2,1,2,2,1,48,0
0,2,1,2,3,0,49,0
0,2,1,2,3,1,50,0
1,0,0,0,0,0,51,1
1,0,0,0,0,1,52,1
1,0,0,0,1,0,53,0
1,0,0,0,1,1,54,0
1,0,0,0,2,0,55,0
1,0,0,0,2,1,57,0
1,0,0,0,3,0,58,0
1,0,0,0,3,1,59,0
1,0,0,1,0,0,60,1
1,0,0,1,0,1,61,1
1,0,0,1,1,0,62,0
1,0,0,1,1,1,63,0
1,0,0,1,2,0,64,0
1,0,0,1,2,1,65,0
1,0,0,1,3,0,66,0
1,0,0,1,3,1,68,0
1,0,0,2,0,0,69,1
1,0,0,2,0,1,70,1
1,0,0,2,1,0,71,0
1,0,0,2,1,1,72,0
1,0,0,2,2,0,73,0
1,0,0,2,2,1,74,0
1,0,0,2,3,0,75,0
1,0,0,2,3,1,76,0
1,0,1,0,0,0,77,1
1,0,1,0,0,1,79,1
1,0,1,0,1,0,80,0
1,0,1,0,1,1,81,0
1,0,1,0,2,0,82,0
1,0,1,0,2,1,83,0
1,0,1,0,3,0,84,0
1,0,1,0,3,1,85,0
1,0,1,1,0,0,86,1
1,0,1,1,0,1,87,1
1,0,1,1,1,0,88,0
1,0,1,1,1,1,90,0
1,0,1,1,2,0,91,0
1,0,1,1,2,1,92,0
1,0,1,1,3,0,93,0
1,0,1,1,3,1,94,0
1,0,1,2,0,0,95,1
1,0,1,2,0,1,96,1
1,0,1,2,1,0,97,0
1,0,1,2,1,1,98,0
1,0,1,2,2,0,99,0
1,0,1,2,2,1,101,0
1,0,1,2,3,0,102,0
1,0,1,2,3,1,103,0
1,1,0,0,0,0,104,1
1,1,0,0,0,1,105,1
1,1,0,0,1,0,106,1
1,1,0,0,1,1,107,1
1,1,0,0,2,0,108,1
1,1,0,0,2,1,109,1
1,1,0,0,3,0,110,1
1,1,0,0,3,1,113,1
1,1,0,1,0,0,114,1
1,1,0,1,0,1,115,1
1,1,0,1,1,0,116,1
1,1,0,1,1,1,117,1
1,1,0,1,2,0,118,1
1,1,0,1,2,1,119,1
1,1,0,1,3,0,120,1
1,1,0,1,3,1,121,1
1,1,0,2,0,0,122,1
1,1,0,2,0,1,124,1
1,1,0,2,1,0,125,1
1,1,0,2,1,1,126,1
1,1,0,2,2,0,127,1
1,1,0,2,2,1,128,1
1,1,0,2,3,0,129,1
1,1,0,2,3,1,130,1
1,1,1,0,0,0,131,1
1,1,1,0,0,1,132,1
1,1,1,0,1,0,133,1
1,1,1,0,1,1,135,1
1,1,1,0,2,0,136,1
1,1,1,0,2,1,137,1
1,1,1,0,3,0,138,1
1,1,1,0,3,1,139,1
1,1,1,1,0,0,140,1
1,1,1,1,0,1,141,1
1,1,1,1,1,0,142,1
1,1,1,1,1,1,143,1
1,1,1,1,2,0,144,1
1,1,1,1,2,1,146,1
1,1,1,1,3,0,147,1
1,1,1,1,3,1,148,1
1,1,1,2,0,0,149,1
1,1,1,2,0,1,150,1
1,1,1,2,1,0,151,1
1,1,1,2,1,1,152,1
1,1,1,2,2,0,153,1
1,1,1,2,2,1,154,1
1,1,1,2,3,0,155,1
1,1,1,2,3,1,157,1
1,2,0,0,0,0,158,1
1,2,0,0,0,1,159,1
1,2,0,0,1,0,160,0
1,2,0,0,1,1,161,0
1,2,0,0,2,0,162,0
1,2,0,0,2,1,163,0
1,2,0,0,3,0,164,0
1,2,0,0,3,1,165,0
1,2,0,1,0,0,166,1
1,2,0,1,0,1,168,1
1,2,0,1,1,0,169,0
1,2,0,1,1,1,170,0
1,2,0,1,2,0,171,0
1,2,0,1,2,1,172,0
1,2,0,1,3,0,173,0
1,2,0,1,3,1,174,0
1,2,0,2,0,0,175,1
1,2,0,2,0,1,176,1
1,2,0,2,1,0,177,0
1,2,0,2,1,1,179,0
1,2,0,2,2,0,180,0
1,2,0,2,2,1,181,0
1,2,0,2,3,0,182,0
1,2,0,2,3,1,183,0
1,2,1,0,0,0,184,1
1,2,1,0,0,1,185,1
1,2,1,0,1,0,186,0
1,2,1,0,1,1,187,0
1,2,1,0,2,0,188,0
1,2,1,0,2,1,190,0
1,2,1,0,3,0,191,0
1,2,1,0,3,1,192,0
1,2,1,1,0,0,193,1
1,2,1,1,0,1,194,1
1,2,1,1,1,0,195,0
1,2,1,1,1,1,196,0
1,2,1,1,2,0,197,0
1,2,1,1,2,1,198,0
1,2,1,1,3,0,199,0
1,2,1,1,3,1,201,0
1,2,1,2,0,0,202,1
1,2,1,2,0,1,203,1
1,2,1,2,1,0,204,0
1,2,1,2,1,1,205,0
1,2,1,2,2,0,206,0
1,2,1,2,2,1,207,0
1,2,1,2,3,0,208,0
1,2,1,2,3,1,209,0
2,0,0,0,0,0,210,1
2,0,0,0,0,1,212,1
2,0,0,0,1,0,213,0
2,0,0,0,1,1,214,0
2,0,0,0,2,0,215,0
2,0,0,0,2,1,216,0
2,0,0,0,3,0,217,0
2,0,0,0,3,1,218,0
2,0,0,1,0,0,219,1
2,0,0,1,0,1,220,1
2,0,0,1,1,0,221,0
2,0,0,1,1,1,224,0
2,0,0,1,2,0,225,0
2,0,0,1,2,1,226,0
2,0,0,1,3,0,227,0
2,0,0,1,3,1,228,0
2,0,0,2,0,0,229,1
2,0,0,2,0,1,230,1
2,0,0,2,1,0,231,0
2,0,0,2,1,1,232,0
2,0,0,2,2,0,233,0
2,0,0,2,2,1,235,0
2,0,0,2,3,0,236,0
2,0,0,2,3,1,237,0
2,0,1,0,0,0,238,1
2,0,1,0,0,1,239,1
2,0,1,0,1,0,240,0
2,0,1,0,1,1,241,0
2,0,1,0,2,0,242,0
2,0,1,0,2,1,243,0
2,0,1,0,3,0,244,0
2,0,1,0,3,1,246,0
2,0,1,1,0,0,247,1
2,0,1,1,0,1,248,1
2,0,1,1,1,0,249,0
2,0,1,1,1,1,250,0
2,0,1,1,2,0,251,0
2,0,1,1,2,1,252,0
2,0,1,1,3,0,253,0
2,0,1,1,3,1,254,0
2,0,1,2,0,0,255,1
2,0,1,2,0,1,257,1
2,0,1,2,1,0,258,0
2,0,1,2,1,1,259,0
2,0,1,2,2,0,260,0
2,0,1,2,2,1,261,0
2,0,1,2,3,0,262,0
2,0,1,2,3,1,263,0
2,1,0,0,0,0,264,1
2,1,0,0,0,1,265,1
2,1,0,0,1,0,266,0
2,1,0,0,1,1,268,0
2,1,0,0,2,0,269,0
2,1,0,0,2,1,270,0
2,1,0,0,3,0,271,0
2,1,0,0,3,1,272,0
2,1,0,1,0,0,273,1
2,1,0,1,0,1,274,1
2,1,0,1,1,0,275,0
2,1,0,1,1,1,276,0
2,1,0,1,2,0,277,0
2,1,0,1,2,1,279,0
2,1,0,1,3,0,280,0
2,1,0,1,3,1,281,0
2,1,0,2,0,0,282,1
2,1,0,2,0,1,283,1
2,1,0,2,1,0,284,0
2,1,0,2,1,1,285,0
2,1,0,2,2,0,286,0
2,1,0,2,2,1,287,0
2,1,0,2,3,0,288,0
2,1,0,2,3,1,290,0
2,1,1,0,0,0,291,1
2,1,1,0,0,1,292,1
2,1,1,0,1,0,293,0
2,1,1,0,1,1,294,0
2,1,1,0,2,0,295,0
2,1,1,0,2,1,296,0
2,1,1,0,3,0,297,0
2,1,1,0,3,1,298,0
2,1,1,1,0,0,299,1
2,1,1,1,0,1,301,1
2,1,1,1,1,0,302,0
2,1,1,1,1,1,303,0
2,1,1,1,2,0,304,0
2,1,1,1,2,1,305,0
2,1,1,1,3,0,306,0
2,1,1,1,3,1,307,0
2,1,1,2,0,0,308,1
2,1,1,2,0,1,309,1
2,1,1,2,1,0,310,0
2,1,1,2,1,1,312,0
2,1,1,2,2,0,313,0
2,1,1,2,2,1,314,0
2,1,1,2,3,0,315,0
2,1,1,2,3,1,316,0
2,2,0,0,0,0,317,1
2,2,0,0,0,1,318,1
2,2,0,0,1,0,319,1
2,2,0,0,1,1,320,1
2,2,0,0,2,0,321,1
2,2,0,0,2,1,323,1
2,2,0,0,3,0,324,1
2,2,0,0,3,1,325,1
2,2,0,1,0,0,326,1
2,2,0,1,0,1,327,1
2,2,0,1,1,0,328,1
2,2,0,1,1,1,329,1
2,2,0,1,2,0,330,1
2,2,0,1,2,1,331,1
2,2,0,1,3,0,332,1
2,2,0,1,3,1,335,1
2,2,0,2,0,0,336,1
2,2,0,2,0,1,337,1
2,2,0,2,1,0,338,1
2,2,0,2,1,1,339,1
2,2,0,2,2,0,340,1
2,2,0,2,2,1,341,1
2,2,0,2,3,0,342,1
2,2,0,2,3,1,343,1
2,2,1,0,0,0,344,1
2,2,1,0,0,1,346,1
2,2,1,0,1,0,347,1
2,2,1,0,1,1,348,1
2,2,1,0,2,0,349,1
2,2,1,0,2,1,350,1
2,2,1,0,3,0,351,1
2,2,1,0,3,1,352,1
2,2,1,1,0,0,353,1
2,2,1,1,0,1,354,1
2,2,1,1,1,0,355,1
